readout,read_val,name,model_name,p_val,log2FC,xnorm,pname
Peak,2.2914592996892735,Null model,thres,1.0,0.0,1.0,beta_p
Area,4.0039134515532835,Null model,thres,1.0,0.0,1.0,beta_p
Peaktime,1.344599400551118,Null model,thres,1.0,0.0,1.0,beta_p
Decay,9.65,Null model,thres,1.0,0.0,1.0,beta_p
Peak,2.291459314741775,Null model,thres,1.1513953993264474,9.477004124053013e-09,1.1513953993264474,beta_p
Area,4.007740637359503,Null model,thres,1.1513953993264474,0.0013783576629533701,1.1513953993264474,beta_p
Peaktime,1.3445994102567793,Null model,thres,1.1513953993264474,1.0413740805904215e-08,1.1513953993264474,beta_p
Decay,9.78,Null model,thres,1.1513953993264474,0.01930552279679091,1.1513953993264474,beta_p
Peak,2.29145936251245,Null model,thres,1.3257113655901092,3.955325941181671e-08,1.3257113655901092,beta_p
Area,4.014592654482923,Null model,thres,1.3257113655901092,0.0038428210972878277,1.3257113655901092,beta_p
Peaktime,1.3445994759773678,Null model,thres,1.3257113655901092,8.092899150379905e-08,1.3257113655901092,beta_p
Decay,9.91,Null model,thres,1.3257113655901092,0.038356115031045294,1.3257113655901092,beta_p
Peak,2.291459528144003,Null model,thres,1.5264179671752334,1.4383431920078835e-07,1.5264179671752334,beta_p
Area,4.026266792015974,Null model,thres,1.5264179671752334,0.008031983281113063,1.5264179671752334,beta_p
Peaktime,1.3445996866062626,Null model,thres,1.5264179671752334,3.06924348254606e-07,1.5264179671752334,beta_p
Decay,10.03,Null model,thres,1.5264179671752334,0.055720758456737664,1.5264179671752334,beta_p
Peak,2.291460091504748,Null model,thres,1.7575106248547918,4.985242640843151e-07,1.7575106248547918,beta_p
Area,4.04524631826622,Null model,thres,1.7575106248547918,0.01481676291084706,1.7575106248547918,beta_p
Peaktime,1.3446003831348725,Null model,thres,1.7575106248547918,1.054268053017981e-06,1.7575106248547918,beta_p
Decay,10.19,Null model,thres,1.7575106248547918,0.07855320401037097,1.7575106248547918,beta_p
Peak,2.291461955937672,Null model,thres,2.023589647725157,1.6723640569280694e-06,2.023589647725157,beta_p
Area,4.074817162353579,Null model,thres,2.023589647725157,0.025324537589227262,2.023589647725157,beta_p
Peaktime,1.3446026827680853,Null model,thres,2.023589647725157,3.521667762568542e-06,2.023589647725157,beta_p
Decay,10.4,Null model,thres,2.023589647725157,0.10798268087301183,2.023589647725157,beta_p
Peak,2.291467951376583,Null model,thres,2.329951810515372,5.4470628457273e-06,2.329951810515372,beta_p
Area,4.119204037062965,Null model,thres,2.329951810515372,0.04095479990723376,2.329951810515372,beta_p
Peaktime,1.3446098894108256,Null model,thres,2.329951810515372,1.1254033623493552e-05,2.329951810515372,beta_p
Decay,10.65,Null model,thres,2.329951810515372,0.14225258295775775,2.329951810515372,beta_p
Peak,2.2914865534883693,Null model,thres,2.6826957952797255,1.7158797882775123e-05,2.6826957952797255,beta_p
Area,4.18377760891821,Null model,thres,2.6826957952797255,0.06339537707861717,2.6826957952797255,beta_p
Peaktime,1.3446316654156483,Null model,thres,2.6826957952797255,3.461834175872649e-05,2.6826957952797255,beta_p
