readout,read_val,name,model_name,p_val,log2FC,xnorm,pname
Peak,2.2913663488769167,Null,thres,1.0,0.0,1.0,beta_p
Area,4.0035068087453265,Null,thres,1.0,0.0,1.0,beta_p
Peaktime,1.3446621522768447,Null,thres,1.0,0.0,1.0,beta_p
Decay,9.626287171574582,Null,thres,1.0,0.0,1.0,beta_p
Peak,2.291366314087429,Null,thres,1.1721022975334803,-2.190423278600005e-08,1.1721022975334803,beta_p
Area,4.0080133686924615,Null,thres,1.1721022975334803,0.0016230608496125144,1.1721022975334803,beta_p
Peaktime,1.3446617783753243,Null,thres,1.1721022975334803,-4.0116094834529237e-07,1.1721022975334803,beta_p
Decay,9.777001532087757,Null,thres,1.1721022975334803,0.022412616423079745,1.1721022975334803,beta_p
Peak,2.2913663285580963,Null,thres,1.3738237958832629,-1.2793179796315948e-08,1.3738237958832629,beta_p
Area,4.016608971316566,Null,thres,1.3738237958832629,0.004713757831127319,1.3738237958832629,beta_p
Peaktime,1.3446613606836983,Null,thres,1.3738237958832629,-8.493046680591417e-07,1.3738237958832629,beta_p
Decay,9.927834019296805,Null,thres,1.3738237958832629,0.044499533202130445,1.3738237958832629,beta_p
Peak,2.291366552504318,Null,thres,1.6102620275609394,1.2820831948355422e-07,1.6102620275609394,beta_p
Area,4.03205129965869,Null,thres,1.6102620275609394,0.010249734529251478,1.6102620275609394,beta_p
Peaktime,1.3446610649130655,Null,thres,1.6102620275609394,-1.1666387453547033e-06,1.6102620275609394,beta_p
Decay,10.07880154910312,Null,thres,1.6102620275609394,0.06627273338302458,1.6102620275609394,beta_p
Peak,2.2913675979097254,Null,thres,1.8873918221350972,7.864185267165945e-07,1.8873918221350972,beta_p
Area,4.0582408039583955,Null,thres,1.8873918221350972,0.019590213086270316,1.8873918221350972,beta_p
Peaktime,1.3446615945505267,Null,thres,1.8873918221350972,-5.983876013788108e-07,1.8873918221350972,beta_p
Decay,10.279922165600794,Null,thres,1.8873918221350972,0.09477797364987112,1.8873918221350972,beta_p
Peak,2.291371714715015,Null,thres,2.2122162910704493,3.3784466435197034e-06,2.2122162910704493,beta_p
Area,4.1004481663919545,Null,thres,2.2122162910704493,0.034517340697995676,2.2122162910704493,beta_p
Peaktime,1.344665571702496,Null,thres,2.2122162910704493,3.668714962378318e-06,2.2122162910704493,beta_p
Decay,10.531214555393442,Null,thres,2.2122162910704493,0.12962046310318953,2.2122162910704493,beta_p
Peak,2.291387264799654,Null,thres,2.592943797404667,1.3169068447741817e-05,2.592943797404667,beta_p
Area,4.1656042013326,Null,thres,2.592943797404667,0.057261507122735755,2.592943797404667,beta_p
Peaktime,1.3446782046226673,Null,thres,2.592943797404667,1.7222542809718267e-05,2.592943797404667,beta_p
Decay,10.831484160469248,Null,thres,2.592943797404667,0.17017957106698528,2.592943797404667,beta_p
Peak,2.291456514903387,Null,thres,3.039195382313197,5.676941183576365e-05,3.039195382313197,beta_p
Area,4.262860253118148,Null,thres,3.039195382313197,0.09055750125220992,3.039195382313197,beta_p
Peaktime,1.3447179523889792,Null,thres,3.039195382313197,5.9866989370123994e-05,3.039195382313197,beta_p
Decay,11.237507827167374,Null,thres,3.039195382313197,0.22327075304620028,3.039195382313197,beta_p
Peak,2.2916273443292314,Null,thres,3.562247890262442,0.0001643191635694061,3.562247890262442,beta_p
Area,4.404745832669153,Null,thres,3.562247890262442,0.13779451383525898,3.562247890262442,beta_p
Peaktime,1.3449065633457882,Null,thres,3.562247890262442,0.00026220608235479997,3.562247890262442,beta_p
Decay,11.786309242555403,Null,thres,3.562247890262442,0.2920606568579269,3.562247890262442,beta_p
Peak,2.292137805234649,Null,thres,4.1753189365604015,0.0004856442733119064,4.1753189365604015,beta_p
Area,4.609347842766077,Null,thres,4.1753189365604015,0.20329838445385404,4.1753189365604015,beta_p
Peaktime,1.3454765457240598,Null,thres,4.1753189365604015,0.0008735024884744218,4.1753189365604015,beta_p
Decay,12.438166669880179,Null,thres,4.1753189365604015,0.3697224867818515,4.1753189365604015,beta_p
Peak,2.293655845891502,Null,thres,4.893900918477494,0.0014407983749223146,4.893900918477494,beta_p
Area,4.904726291217459,Null,thres,4.893900918477494,0.29290836914982,4.893900918477494,beta_p
Peaktime,1.346992330771636,Null,thres,4.893900918477494,0.0024978969773466206,4.893900918477494,beta_p
Decay,13.340866805808995,Null,thres,4.893900918477494,0.47080103927628997,4.893900918477494,beta_p
Peak,2.2977441082503485,Null,thres,5.736152510448679,0.004010000556666959,5.736152510448679,beta_p
Area,5.338236423211285,Null,thres,5.736152510448679,0.4150989421029124,5.736152510448679,beta_p
Peaktime,1.3508441738248045,Null,thres,5.736152510448679,0.006617522935101216,5.736152510448679,beta_p
Decay,14.587795357424936,Null,thres,5.736152510448679,0.5997104987477118,5.736152510448679,beta_p
Peak,2.3079381557517102,Null,thres,6.7233575364993365,0.01039642712720007,6.7233575364993365,beta_p
Area,5.997905472330664,Null,thres,6.7233575364993365,0.5831945255607937,6.7233575364993365,beta_p
Peaktime,1.3601109516086447,Null,thres,6.7233575364993365,0.01648060499026323,6.7233575364993365,beta_p
Decay,16.490582150837177,Null,thres,6.7233575364993365,0.7765909621592925,6.7233575364993365,beta_p
Peak,2.3319555889883556,Null,thres,7.880462815669913,0.02533217488587685,7.880462815669913,beta_p
Area,7.068816175414849,Null,thres,7.880462815669913,0.8202043653087419,7.880462815669913,beta_p
Peaktime,1.3815054376341416,Null,thres,7.880462815669913,0.03899750091382442,7.880462815669913,beta_p
