readout,read_val,name,model_name,p_val,log2FC,xnorm,pname
Peak,2.2914592996892735,Null model,thres,1.0,,0.06196581196581197,beta_p
Area,4.0039134515532835,Null model,thres,1.0,,0.06196581196581197,beta_p
Peaktime,1.344599400551118,Null model,thres,1.0,,0.06196581196581197,beta_p
Decay,9.65,Null model,thres,1.0,,0.06196581196581197,beta_p
Peak,2.291459314741775,Null model,thres,1.1513953993264474,,0.07134715081296363,beta_p
Area,4.007740637359503,Null model,thres,1.1513953993264474,,0.07134715081296363,beta_p
Peaktime,1.3445994102567793,Null model,thres,1.1513953993264474,,0.07134715081296363,beta_p
Decay,9.78,Null model,thres,1.1513953993264474,,0.07134715081296363,beta_p
Peak,2.29145936251245,Null model,thres,1.3257113655901092,,0.0821487812010965,beta_p
Area,4.014592654482923,Null model,thres,1.3257113655901092,,0.0821487812010965,beta_p
Peaktime,1.3445994759773678,Null model,thres,1.3257113655901092,,0.0821487812010965,beta_p
Decay,9.91,Null model,thres,1.3257113655901092,,0.0821487812010965,beta_p
Peak,2.291459528144003,Null model,thres,1.5264179671752334,,0.09458572873521745,beta_p
Area,4.026266792015974,Null model,thres,1.5264179671752334,,0.09458572873521745,beta_p
Peaktime,1.3445996866062626,Null model,thres,1.5264179671752334,,0.09458572873521745,beta_p
Decay,10.03,Null model,thres,1.5264179671752334,,0.09458572873521745,beta_p
Peak,2.291460091504748,Null model,thres,1.7575106248547918,,0.10890557290766872,beta_p
Area,4.04524631826622,Null model,thres,1.7575106248547918,,0.10890557290766872,beta_p
Peaktime,1.3446003831348725,Null model,thres,1.7575106248547918,,0.10890557290766872,beta_p
Decay,10.19,Null model,thres,1.7575106248547918,,0.10890557290766872,beta_p
Peak,2.291461955937672,Null model,thres,2.023589647725157,,0.12539337560690075,beta_p
Area,4.074817162353579,Null model,thres,2.023589647725157,,0.12539337560690075,beta_p
Peaktime,1.3446026827680853,Null model,thres,2.023589647725157,,0.12539337560690075,beta_p
Decay,10.4,Null model,thres,2.023589647725157,,0.12539337560690075,beta_p
Peak,2.291467951376583,Null model,thres,2.329951810515372,,0.1443773557797987,beta_p
Area,4.119204037062965,Null model,thres,2.329951810515372,,0.1443773557797987,beta_p
Peaktime,1.3446098894108256,Null model,thres,2.329951810515372,,0.1443773557797987,beta_p
Decay,10.65,Null model,thres,2.329951810515372,,0.1443773557797987,beta_p
