readout,read_val,name,model_name,p_val,log2FC,xnorm,pname
Peak,2.103299573099573,Timer_IL2,menten,1.0,0.0,1.0,beta_p
Area,5.6840888928123405,Timer_IL2,menten,1.0,0.0,1.0,beta_p
Peaktime,1.4727350623909143,Timer_IL2,menten,1.0,0.0,1.0,beta_p
Decay,10.629896833766514,Timer_IL2,menten,1.0,0.0,1.0,beta_p
Peak,2.1782534874753163,Timer_IL2,menten,1.1721022975334803,0.05051750511680298,1.1721022975334803,beta_p
Area,6.252834773638973,Timer_IL2,menten,1.1721022975334803,0.13758127874434536,1.1721022975334803,beta_p
Peaktime,1.5135255202208688,Timer_IL2,menten,1.1721022975334803,0.039415081132843276,1.1721022975334803,beta_p
Decay,10.897134381098908,Timer_IL2,menten,1.1721022975334803,0.03582120426889432,1.1721022975334803,beta_p
Peak,2.281874752335929,Timer_IL2,menten,1.3738237958832629,0.11756525922054147,1.3738237958832629,beta_p
Area,7.060936081848004,Timer_IL2,menten,1.3738237958832629,0.3129303401270281,1.3738237958832629,beta_p
Peaktime,1.5714032502998323,Timer_IL2,menten,1.3738237958832629,0.09355552944978596,1.3738237958832629,beta_p
Decay,11.158788089655946,Timer_IL2,menten,1.3738237958832629,0.07005275530308039,1.3738237958832629,beta_p
Peak,2.429178707865065,Timer_IL2,menten,1.6102620275609394,0.20781428104999392,1.6102620275609394,beta_p
Area,8.252263788805255,Timer_IL2,menten,1.6102620275609394,0.5378608217174679,1.6102620275609394,beta_p
Peaktime,1.6577774616679568,Timer_IL2,menten,1.6102620275609394,0.17075243378633714,1.6102620275609394,beta_p
Decay,11.521120312517473,Timer_IL2,menten,1.6102620275609394,0.11615341595129744,1.6102620275609394,beta_p
Peak,2.649127136907372,Timer_IL2,menten,1.8873918221350972,0.3328627353320146,1.8873918221350972,beta_p
Area,10.094421952212626,Timer_IL2,menten,1.8873918221350972,0.8285572764187753,1.8873918221350972,beta_p
Peaktime,1.801327412794531,Timer_IL2,menten,1.8873918221350972,0.29056251199693245,1.8873918221350972,beta_p
Decay,11.896684680389573,Timer_IL2,menten,1.8873918221350972,0.16243199000458708,1.8873918221350972,beta_p
Peak,3.016760048487922,Timer_IL2,menten,2.2122162910704493,0.5203456019848681,2.2122162910704493,beta_p
Area,13.122155971994344,Timer_IL2,menten,2.2122162910704493,1.2070037524086403,2.2122162910704493,beta_p
Peaktime,2.1305414210812006,Timer_IL2,menten,2.2122162910704493,0.532722179898269,2.2122162910704493,beta_p
Decay,12.358746284921827,Timer_IL2,menten,2.2122162910704493,0.21740480339773852,2.2122162910704493,beta_p
Peak,4.265521814835071,Timer_IL2,menten,2.592943797404667,1.0200678939512466,2.592943797404667,beta_p
Area,18.49624873004136,Timer_IL2,menten,2.592943797404667,1.7022316818471463,2.592943797404667,beta_p
Peaktime,4.171460249637015,Timer_IL2,menten,2.592943797404667,1.5020545776963612,2.592943797404667,beta_p
Decay,13.003279825454863,Timer_IL2,menten,2.592943797404667,0.29074796586907553,2.592943797404667,beta_p
Peak,7.866454174977073,Timer_IL2,menten,3.039195382313197,1.9030591357894049,3.039195382313197,beta_p
Area,29.01362639033256,Timer_IL2,menten,3.039195382313197,2.351729606112362,3.039195382313197,beta_p
Peaktime,4.37983412514402,Timer_IL2,menten,3.039195382313197,1.5723783123742054,3.039195382313197,beta_p
Decay,13.589938532101698,Timer_IL2,menten,3.039195382313197,0.3544113355830929,3.039195382313197,beta_p
Peak,16.675864706268207,Timer_IL2,menten,3.562247890262442,2.98703531954148,3.562247890262442,beta_p
Area,52.16705599368855,Timer_IL2,menten,3.562247890262442,3.198137996304271,3.562247890262442,beta_p
Peaktime,4.481641006971306,Timer_IL2,menten,3.562247890262442,1.6055291690763305,3.562247890262442,beta_p
Decay,14.47783604196464,Timer_IL2,menten,3.562247890262442,0.4457183881402666,3.562247890262442,beta_p
Peak,41.30275554513062,Timer_IL2,menten,4.1753189365604015,4.295511782396946,4.1753189365604015,beta_p
Area,111.29734142751128,Timer_IL2,menten,4.1753189365604015,4.2913462041437,4.1753189365604015,beta_p
Peaktime,4.553331808803202,Timer_IL2,menten,4.1753189365604015,1.6284246746017315,4.1753189365604015,beta_p
Decay,15.330824460170813,Timer_IL2,menten,4.1753189365604015,0.5283076890885744,4.1753189365604015,beta_p
Peak,122.68472555405889,Timer_IL2,menten,4.893900918477494,5.866157484243398,4.893900918477494,beta_p
Area,291.44727989686015,Timer_IL2,menten,4.893900918477494,5.680162009783148,4.893900918477494,beta_p
Peaktime,4.60968136564473,Timer_IL2,menten,4.893900918477494,1.6461691107404683,4.893900918477494,beta_p
