readout,read_val,name,model_name,p_val,log2FC,xnorm,pname
Peak,4.003660342545866,Timer_IL2,thres,1.0,-1.4911009252284004,0.09236708571873861,beta_p
Area,3995.9742819585563,Timer_IL2,thres,1.0,-0.01294569562936783,0.09236708571873861,beta_p
Peaktime,8.646601304453876,Timer_IL2,thres,1.0,0.14640776074236733,0.09236708571873861,beta_p
Decay,999.99,Timer_IL2,thres,1.0,0.0,0.09236708571873861,beta_p
Peak,4.008064543981235,Timer_IL2,thres,1.1721022975334803,-1.4895147698623814,0.10826367338740543,beta_p
Area,3995.9930129415197,Timer_IL2,thres,1.1721022975334803,-0.012938933065099217,0.10826367338740543,beta_p
Peaktime,8.537603844331647,Timer_IL2,thres,1.1721022975334803,0.12810581395848367,0.10826367338740543,beta_p
Decay,999.99,Timer_IL2,thres,1.1721022975334803,0.0,0.10826367338740543,beta_p
Peak,4.0166502489452265,Timer_IL2,thres,1.3738237958832629,-1.4864276673247772,0.1268961003167922,beta_p
Area,3996.034660638571,Timer_IL2,thres,1.3738237958832629,-0.012923896849396465,0.1268961003167922,beta_p
Peaktime,8.626304779051544,Timer_IL2,thres,1.3738237958832629,0.14301728204926337,0.1268961003167922,beta_p
Decay,999.99,Timer_IL2,thres,1.3738237958832629,0.0,0.1268961003167922,beta_p
Peak,4.031968704861261,Timer_IL2,thres,1.6102620275609394,-1.480936070022105,0.1487352107293511,beta_p
Area,3996.110761399846,Timer_IL2,thres,1.6102620275609394,-0.012896422326573212,0.1487352107293511,beta_p
Peaktime,8.525495682726119,Timer_IL2,thres,1.6102620275609394,0.12605830932933523,0.1487352107293511,beta_p
Decay,999.99,Timer_IL2,thres,1.6102620275609394,0.0,0.1487352107293511,beta_p
Peak,4.05799888888793,Timer_IL2,thres,1.8873918221350972,-1.4716520409897824,0.17433288221999876,beta_p
Area,3996.2571433862704,Timer_IL2,thres,1.8873918221350972,-0.012843575768849744,0.17433288221999876,beta_p
Peaktime,8.616624870886236,Timer_IL2,thres,1.8873918221350972,0.14139746949340207,0.17433288221999876,beta_p
Decay,999.99,Timer_IL2,thres,1.8873918221350972,0.0,0.17433288221999876,beta_p
Peak,4.099813387223776,Timer_IL2,thres,2.2122162910704493,-1.4568622675406973,0.20433597178569418,beta_p
Area,3996.4926524672924,Timer_IL2,thres,2.2122162910704493,-0.012758556772371418,0.20433597178569418,beta_p
Peaktime,8.536603389251148,Timer_IL2,thres,2.2122162910704493,0.1279367458939844,0.20433597178569418,beta_p
Decay,999.99,Timer_IL2,thres,2.2122162910704493,0.0,0.20433597178569418,beta_p
Peak,4.164492982915405,Timer_IL2,thres,2.592943797404667,-1.4342796494601213,0.23950266199874848,beta_p
Area,3996.878880461552,Timer_IL2,thres,2.592943797404667,-0.012619138953467666,0.23950266199874848,beta_p
Peaktime,8.535566570357718,Timer_IL2,thres,2.592943797404667,0.12776151175781644,0.23950266199874848,beta_p
Decay,999.99,Timer_IL2,thres,2.592943797404667,0.0,0.23950266199874848,beta_p
Peak,4.261073058251901,Timer_IL2,thres,3.039195382313197,-1.4012037235990755,0.28072162039411763,beta_p
Area,3997.4916132460057,Timer_IL2,thres,3.039195382313197,-0.012397986693399428,0.28072162039411763,beta_p
Peaktime,8.604994876979887,Timer_IL2,thres,3.039195382313197,0.1394489260543396,0.28072162039411763,beta_p
Decay,999.99,Timer_IL2,thres,3.039195382313197,0.0,0.28072162039411763,beta_p
Peak,4.401183128223675,Timer_IL2,thres,3.562247890262442,-1.3545291091821738,0.32903445623126676,beta_p
Area,3998.3430976346745,Timer_IL2,thres,3.562247890262442,-0.012090718633468583,0.32903445623126676,beta_p
Peaktime,8.501376852384753,Timer_IL2,thres,3.562247890262442,0.12197110657066106,0.32903445623126676,beta_p
Decay,999.99,Timer_IL2,thres,3.562247890262442,0.0,0.32903445623126676,beta_p
Peak,4.602881245473704,Timer_IL2,thres,4.1753189365604015,-1.2898832896128467,0.38566204211634714,beta_p
Area,3999.5958706907463,Timer_IL2,thres,4.1753189365604015,-0.011638759823256696,0.38566204211634714,beta_p
Peaktime,8.466416081090898,Timer_IL2,thres,4.1753189365604015,0.11602598419155852,0.38566204211634714,beta_p
Decay,999.99,Timer_IL2,thres,4.1753189365604015,0.0,0.38566204211634714,beta_p
Peak,4.892166582894314,Timer_IL2,thres,4.893900918477494,-1.201946981232227,0.4520353656360243,beta_p
Area,4001.3920569598417,Timer_IL2,thres,4.893900918477494,-0.010991002548804609,0.4520353656360243,beta_p
Peaktime,8.445869320029098,Timer_IL2,thres,4.893900918477494,0.11252051770122687,0.4520353656360243,beta_p
Decay,999.99,Timer_IL2,thres,4.893900918477494,0.0,0.4520353656360243,beta_p
Peak,5.3107561812469415,Timer_IL2,thres,5.736152510448679,-1.0835032147674815,0.5298316906283708,beta_p
Area,4003.8503765225855,Timer_IL2,thres,5.736152510448679,-0.01010493180627645,0.5298316906283708,beta_p
Peaktime,8.345571362368396,Timer_IL2,thres,5.736152510448679,0.09528541681926501,0.5298316906283708,beta_p
