readout,read_val,name,model_name,p_val,log2FC,xnorm,pname
Peak,24322.53892108038,Timer_IL2,thres,30,0.0,1.0,beta_p
Area,282065.98261053115,Timer_IL2,thres,30,0.0,1.0,beta_p
Peaktime,2.7626334207778163,Timer_IL2,thres,30,0.0,1.0,beta_p
Decay,19.98968152034655,Timer_IL2,thres,30,0.0,1.0,beta_p
Peak,24636.197444910147,IL2,thres,30,0.0,1.0,beta_p
Area,346319.92359046056,IL2,thres,30,0.0,1.0,beta_p
Peaktime,6.0082076807056195,IL2,thres,30,0.0,1.0,beta_p
Decay,19.96437633246267,IL2,thres,30,0.0,1.0,beta_p
Peak,,Timer,thres,30,,1.0,beta_p
Area,,Timer,thres,30,,1.0,beta_p
Peaktime,,Timer,thres,30,,1.0,beta_p
Decay,,Timer,thres,30,,1.0,beta_p
