readout,read_val,name,model_name,p_val,log2FC,xnorm,pname
Peak,2.2914592996892735,Timer_IL2,thres,1.0,-0.1293272702442931,0.09236708571873861,beta_p
Area,4.000005247609559,Timer_IL2,thres,1.0,-0.5237652487111288,0.09236708571873861,beta_p
Peaktime,1.344599400551118,Timer_IL2,thres,1.0,-0.21082454745437496,0.09236708571873861,beta_p
Decay,9.34,Timer_IL2,thres,1.0,-0.10138805348554651,0.09236708571873861,beta_p
Peak,2.291459318256888,Timer_IL2,thres,1.1721022975334803,-0.12932725855418564,0.10826367338740543,beta_p
Area,4.000018685753996,Timer_IL2,thres,1.1721022975334803,-0.5237604019395445,0.10826367338740543,beta_p
Peaktime,1.3445994131510313,Timer_IL2,thres,1.1721022975334803,-0.21082453393523137,0.10826367338740543,beta_p
Decay,9.34,Timer_IL2,thres,1.1721022975334803,-0.10138805348554651,0.10826367338740543,beta_p
Peak,2.2914593873633313,Timer_IL2,thres,1.3738237958832629,-0.12932721504500322,0.1268961003167922,beta_p
Area,4.000070181072378,Timer_IL2,thres,1.3738237958832629,-0.5237418291357426,0.1268961003167922,beta_p
Peaktime,1.3445995088982425,Timer_IL2,thres,1.3738237958832629,-0.2108244312027592,0.1268961003167922,beta_p
Decay,9.34,Timer_IL2,thres,1.3738237958832629,-0.10138805348554651,0.1268961003167922,beta_p
Peak,2.291459667279616,Timer_IL2,thres,1.6102620275609394,-0.12932703881067265,0.1487352107293511,beta_p
Area,4.0002339478870095,Timer_IL2,thres,1.6102620275609394,-0.5236827649882914,0.1487352107293511,beta_p
Peaktime,1.3445998584730432,Timer_IL2,thres,1.6102620275609394,-0.21082405612470625,0.1487352107293511,beta_p
Decay,9.34,Timer_IL2,thres,1.6102620275609394,-0.10138805348554651,0.1487352107293511,beta_p
Peak,2.2914607644079124,Timer_IL2,thres,1.8873918221350972,-0.12932634806267662,0.17433288221999876,beta_p
Area,4.000762196739808,Timer_IL2,thres,1.8873918221350972,-0.5234922632088579,0.17433288221999876,beta_p
Peaktime,1.3446012242047212,Timer_IL2,thres,1.8873918221350972,-0.21082259075691975,0.17433288221999876,beta_p
Decay,9.34,Timer_IL2,thres,1.8873918221350972,-0.10138805348554651,0.17433288221999876,beta_p
Peak,2.2914649243188943,Timer_IL2,thres,2.2122162910704493,-0.12932372900081449,0.20433597178569418,beta_p
Area,4.002514711460847,Timer_IL2,thres,2.2122162910704493,-0.5228604359294724,0.20433597178569418,beta_p
Peaktime,1.344606271601646,Timer_IL2,thres,2.2122162910704493,-0.2108171751431938,0.20433597178569418,beta_p
Decay,9.34,Timer_IL2,thres,2.2122162910704493,-0.10138805348554651,0.20433597178569418,beta_p
Peak,2.2914800270522138,Timer_IL2,thres,2.592943797404667,-0.12931422042556634,0.23950266199874848,beta_p
Area,4.006831960526429,Timer_IL2,thres,2.592943797404667,-0.5213051344359789,0.23950266199874848,beta_p
Peaktime,1.3446240893936168,Timer_IL2,thres,2.592943797404667,-0.21079805767338625,0.23950266199874848,beta_p
Decay,9.35,Timer_IL2,thres,2.592943797404667,-0.09984423842020938,0.23950266199874848,beta_p
Peak,2.291532277483721,Timer_IL2,thres,3.039195382313197,-0.12928132440285722,0.28072162039411763,beta_p
Area,4.018535522881881,Timer_IL2,thres,3.039195382313197,-0.5170973063519908,0.28072162039411763,beta_p
Peaktime,1.344683712986047,Timer_IL2,thres,3.039195382313197,-0.21073408681734884,0.28072162039411763,beta_p
Decay,9.36,Timer_IL2,thres,3.039195382313197,-0.09830207361180383,0.28072162039411763,beta_p
Peak,2.2917033932299535,Timer_IL2,thres,3.562247890262442,-0.12917359795963734,0.32903445623126676,beta_p
Area,4.044994335244959,Timer_IL2,thres,3.562247890262442,-0.5076294591301336,0.32903445623126676,beta_p
Peaktime,1.3448715868413452,Timer_IL2,thres,3.562247890262442,-0.21053253328929178,0.32903445623126676,beta_p
Decay,9.370000000000001,Timer_IL2,thres,3.562247890262442,-0.09676155553602131,0.32903445623126676,beta_p
Peak,2.292230411783936,Timer_IL2,thres,4.1753189365604015,-0.12884186234128897,0.38566204211634714,beta_p
Area,4.101085314775804,Timer_IL2,thres,4.1753189365604015,-0.48776138505859884,0.38566204211634714,beta_p
Peaktime,1.3454248882034388,Timer_IL2,thres,4.1753189365604015,-0.20993910788070308,0.38566204211634714,beta_p
Decay,9.41,Timer_IL2,thres,4.1753189365604015,-0.09061588046667157,0.38566204211634714,beta_p
Peak,2.293748017290204,Timer_IL2,thres,4.893900918477494,-0.12788702051126205,0.4520353656360243,beta_p
Area,4.195266360386678,Timer_IL2,thres,4.893900918477494,-0.4550047300977653,0.4520353656360243,beta_p
Peaktime,1.3469410196367884,Timer_IL2,thres,4.893900918477494,-0.2083142800480045,0.4520353656360243,beta_p
Decay,9.47,Timer_IL2,thres,4.893900918477494,-0.08144617772682326,0.4520353656360243,beta_p
