readout,read_val,name,model_name,p_val,log2FC,xnorm,pname
Peak,1034.744866789436,Timer_IL2,thres,30,0.0,1.0,beta_p
Area,1343.1600923332226,Timer_IL2,thres,30,0.0,1.0,beta_p
Peaktime,1.9455130677605406,Timer_IL2,thres,30,0.0,1.0,beta_p
Decay,15.738926080401438,Timer_IL2,thres,30,0.0,1.0,beta_p
Peak,3751.263121259431,Timer_IL2,thres,50,1.8581013685290566,1.6666666666666667,beta_p
Area,4579.7543375807745,Timer_IL2,thres,50,1.7696389418528728,1.6666666666666667,beta_p
Peaktime,1.427323756979315,Timer_IL2,thres,50,-0.44683805518992165,1.6666666666666667,beta_p
Decay,16.61678885604345,Timer_IL2,thres,50,0.07830450831711931,1.6666666666666667,beta_p
Peak,1034.7475831671993,IL2,thres,30,0.0,1.0,beta_p
Area,1343.1631617644357,IL2,thres,30,0.0,1.0,beta_p
Peaktime,1.9455125307253405,IL2,thres,30,0.0,1.0,beta_p
Decay,15.73893711229311,IL2,thres,30,0.0,1.0,beta_p
Peak,3751.263252098166,IL2,thres,50,1.8580976315382087,1.6666666666666667,beta_p
Area,4579.75447458187,IL2,thres,50,1.769635688122578,1.6666666666666667,beta_p
Peaktime,1.427323749907057,IL2,thres,50,-0.44683766409988357,1.6666666666666667,beta_p
Decay,16.616807057465845,IL2,thres,50,0.07830507736315367,1.6666666666666667,beta_p
Peak,497837.106177284,Timer,thres,30,0.0,1.0,beta_p
Area,766749.7065666781,Timer,thres,30,0.0,1.0,beta_p
Peaktime,3.4739455160360464,Timer,thres,30,0.0,1.0,beta_p
Decay,19.9824285553458,Timer,thres,30,0.0,1.0,beta_p
Peak,28381875756.378212,Timer,thres,50,15.798936649331894,1.6666666666666667,beta_p
Area,41467398386.60171,Timer,thres,50,15.722862302237143,1.6666666666666667,beta_p
Peaktime,3.5458980930860045,Timer,thres,50,0.029575947093780555,1.6666666666666667,beta_p
Decay,19.972237696395645,Timer,thres,50,-0.0007359491828049953,1.6666666666666667,beta_p
