index,readout,read_val,name,model_name,p_val,log2FC,xnorm,pname
0,Peak,1013.177584290885,IL2,thres,11664000.0,-0.14171789659197764,0.903114186851211,rate_il2_prec
1,Area,5730.233669758661,IL2,thres,11664000.0,-0.12430726750973886,0.903114186851211,rate_il2_prec
2,Peaktime,6.38774829999721,IL2,thres,11664000.0,0.003569870846057304,0.903114186851211,rate_il2_prec
3,Decay,64.2,IL2,thres,11664000.0,-0.008960867571621876,0.903114186851211,rate_il2_prec
4,Peak,1020.706441765816,IL2,thres,11753379.310344828,-0.1310369582335893,0.9100346020761246,rate_il2_prec
5,Area,5767.378881798983,IL2,thres,11753379.310344828,-0.11498543666748881,0.9100346020761246,rate_il2_prec
6,Peaktime,6.386187575559397,IL2,thres,11753379.310344828,0.0032173327654269833,0.9100346020761246,rate_il2_prec
7,Decay,64.2,IL2,thres,11753379.310344828,-0.008960867571621876,0.9100346020761246,rate_il2_prec
8,Peak,1028.2265772215821,IL2,thres,11842758.620689655,-0.12044675275097774,0.916955017301038,rate_il2_prec
9,Area,5804.476858023819,IL2,thres,11842758.620689655,-0.10573519178226914,0.916955017301038,rate_il2_prec
10,Peaktime,6.38470054512026,IL2,thres,11842758.620689655,0.0028813606028620007,0.916955017301038,rate_il2_prec
11,Decay,64.3,IL2,thres,11842758.620689655,-0.006715427365977823,0.916955017301038,rate_il2_prec
12,Peak,1035.7387320945443,IL2,thres,11932137.931034483,-0.10994483550488628,0.9238754325259515,rate_il2_prec
13,Area,5841.536335704887,IL2,thres,11932137.931034483,-0.09655338780409642,0.9238754325259515,rate_il2_prec
14,Peaktime,6.3832995544111135,IL2,thres,11932137.931034483,0.00256475622617452,0.9238754325259515,rate_il2_prec
15,Decay,64.3,IL2,thres,11932137.931034483,-0.006715427365977823,0.9238754325259515,rate_il2_prec
16,Peak,1043.240324640697,IL2,thres,12021517.241379311,-0.09953342005590161,0.9307958477508651,rate_il2_prec
17,Area,5878.53039731858,IL2,thres,12021517.241379311,-0.08744570476773915,0.9307958477508651,rate_il2_prec
18,Peaktime,6.381940069667085,IL2,thres,12021517.241379311,0.002257465182128756,0.9307958477508651,rate_il2_prec
19,Decay,64.3,IL2,thres,12021517.241379311,-0.006715427365977823,0.9307958477508651,rate_il2_prec
20,Peak,1050.73374820101,IL2,thres,12110896.551724138,-0.08920781832265431,0.9377162629757785,rate_il2_prec
21,Area,5915.485160098951,IL2,thres,12110896.551724138,-0.07840474204895485,0.9377162629757785,rate_il2_prec
22,Peaktime,6.3806629468554705,IL2,thres,12110896.551724138,0.0019687311753299303,0.9377162629757785,rate_il2_prec
23,Decay,64.3,IL2,thres,12110896.551724138,-0.006715427365977823,0.9377162629757785,rate_il2_prec
24,Peak,1058.2180982162533,IL2,thres,12200275.862068966,-0.07896796386643233,0.9446366782006921,rate_il2_prec
25,Area,5952.391579474709,IL2,thres,12200275.862068966,-0.06943180088726661,0.9446366782006921,rate_il2_prec
26,Peaktime,6.37945221960521,IL2,thres,12200275.862068966,0.001694954617316837,0.9446366782006921,rate_il2_prec
27,Decay,64.4,IL2,thres,12200275.862068966,-0.004473476579307974,0.9446366782006921,rate_il2_prec
28,Peak,1065.6932957479728,IL2,thres,12289655.172413794,-0.06881266739857883,0.9515570934256056,rate_il2_prec
29,Area,5989.249616191562,IL2,thres,12289655.172413794,-0.06052597717743199,0.9515570934256056,rate_il2_prec
30,Peaktime,6.378306177827276,IL2,thres,12289655.172413794,0.0014357572344196766,0.9515570934256056,rate_il2_prec
