index,readout,read_val,name,model_name,p_val,log2FC,xnorm,pname
0,Peak,1182.1306144471328,IL2,thres,13.5,0.07357237728517557,0.903114186851211,beta_naive
1,Area,6562.768378498314,IL2,thres,13.5,0.0650434187162348,0.903114186851211,beta_naive
2,Peaktime,6.481795469489599,IL2,thres,13.5,0.0239730071827298,0.903114186851211,beta_naive
3,Decay,64.9,IL2,thres,13.5,0.00668431330521369,0.903114186851211,beta_naive
4,Peak,1177.5396606502702,IL2,thres,13.60344827586207,0.06795858055876397,0.9100346020761245,beta_naive
5,Area,6540.174851280393,IL2,thres,13.60344827586207,0.06006810875620875,0.9100346020761245,beta_naive
6,Peaktime,6.473266278985347,IL2,thres,13.60344827586207,0.022073360101141252,0.9100346020761245,beta_naive
7,Decay,64.9,IL2,thres,13.60344827586207,0.00668431330521369,0.9100346020761245,beta_naive
8,Peak,1173.0140152107888,IL2,thres,13.706896551724139,0.0624031794060749,0.9169550173010381,beta_naive
9,Area,6517.900824811173,IL2,thres,13.706896551724139,0.05514630258941091,0.9169550173010381,beta_naive
10,Peaktime,6.4648883283228455,IL2,thres,13.706896551724139,0.020204959246488522,0.9169550173010381,beta_naive
11,Decay,64.9,IL2,thres,13.706896551724139,0.00668431330521369,0.9169550173010381,beta_naive
12,Peak,1168.5526616370973,IL2,thres,13.810344827586206,0.0569056802075015,0.9238754325259515,beta_naive
13,Area,6495.943051329928,IL2,thres,13.810344827586206,0.050277886881776465,0.9238754325259515,beta_naive
14,Peaktime,6.4566638983906355,IL2,thres,13.810344827586206,0.018368439040332758,0.9238754325259515,beta_naive
15,Decay,64.8,IL2,thres,13.810344827586206,0.004459648190699556,0.9238754325259515,beta_naive
16,Peak,1164.1528777335684,IL2,thres,13.913793103448276,0.051463455427232484,0.930795847750865,beta_naive
17,Area,6474.287305106943,IL2,thres,13.913793103448276,0.04546029060844253,0.930795847750865,beta_naive
18,Peaktime,6.448581184160497,IL2,thres,13.913793103448276,0.016561283393635582,0.930795847750865,beta_naive
19,Decay,64.8,IL2,thres,13.913793103448276,0.004459648190699556,0.930795847750865,beta_naive
20,Peak,1159.8181200758575,IL2,thres,14.017241379310345,0.046081511646848206,0.9377162629757785,beta_naive
21,Area,6452.949270111521,IL2,thres,14.017241379310345,0.0406975859036784,0.9377162629757785,beta_naive
22,Peaktime,6.440646893706996,IL2,thres,14.017241379310345,0.014785108301234666,0.9377162629757785,beta_naive
23,Decay,64.8,IL2,thres,14.017241379310345,0.004459648190699556,0.9377162629757785,beta_naive
