readout,read_val,name,model_name,p_val,log2FC,xnorm,pname
Peak,4642.231591160785,Timer,thres,0.333,1.2736449530277802,0.903114186851211,deg_myc
Area,26290.964043449792,Timer,thres,0.333,1.2912802456209977,0.903114186851211,deg_myc
Peaktime,7.345444031569053,Timer,thres,0.333,0.14701311368313727,0.903114186851211,deg_myc
Decay,71.5,Timer,thres,0.333,0.09163047546556803,0.903114186851211,deg_myc
Peak,4331.437563546837,Timer,thres,0.33555172413793105,1.1736723769264763,0.9100346020761245,deg_myc
Area,24507.73180027548,Timer,thres,0.33555172413793105,1.1899501700219204,0.9100346020761245,deg_myc
Peaktime,7.289593254656599,Timer,thres,0.33555172413793105,0.1360017266305605,0.9100346020761245,deg_myc
Decay,71.2,Timer,thres,0.33555172413793105,0.08556447476621398,0.9100346020761245,deg_myc
Peak,4045.6859512898814,Timer,thres,0.3381034482758621,1.0752107897380339,0.916955017301038,deg_myc
Area,22869.638748715293,Timer,thres,0.3381034482758621,1.090146778566075,0.916955017301038,deg_myc
Peaktime,7.234573792758906,Timer,thres,0.3381034482758621,0.12507143585957683,0.916955017301038,deg_myc
Decay,70.8,Timer,thres,0.3381034482758621,0.07743659388281351,0.916955017301038,deg_myc
Peak,3782.658106949152,Timer,thres,0.3406551724137931,0.978226840774653,0.9238754325259515,deg_myc
Area,21363.144749065432,Timer,thres,0.3406551724137931,0.9918372353299478,0.9238754325259515,deg_myc
Peaktime,7.180380696978211,Timer,thres,0.3406551724137931,0.11422374585260928,0.9238754325259515,deg_myc
Decay,70.5,Timer,thres,0.3406551724137931,0.07131049108597225,0.9238754325259515,deg_myc
Peak,3540.2672094826394,Timer,thres,0.34320689655172415,0.8826847105425158,0.930795847750865,deg_myc
Area,19976.0592849437,Timer,thres,0.34320689655172415,0.8949852096183445,0.930795847750865,deg_myc
Peaktime,7.126998858497786,Timer,thres,0.34320689655172415,0.1034581027493464,0.930795847750865,deg_myc
Decay,70.2,Timer,thres,0.34320689655172415,0.06515826410437701,0.930795847750865,deg_myc
Peak,3316.659465813007,Timer,thres,0.3457586206896552,0.788557348211463,0.9377162629757785,deg_myc
Area,18697.55888628686,Timer,thres,0.3457586206896552,0.7995631287997752,0.9377162629757785,deg_myc
Peaktime,7.074395556534794,Timer,thres,0.3457586206896552,0.09277029734912372,0.9377162629757785,deg_myc
Decay,69.8,Timer,thres,0.3457586206896552,0.056914270009468394,0.9377162629757785,deg_myc
Peak,3110.137647977027,Timer,thres,0.3483103448275862,0.6958048878681221,0.944636678200692,deg_myc
Area,17517.756304581082,Timer,thres,0.3483103448275862,0.7055312062488038,0.944636678200692,deg_myc
Peaktime,7.02257580493357,Timer,thres,0.3483103448275862,0.08216370200669869,0.944636678200692,deg_myc
Decay,69.5,Timer,thres,0.3483103448275862,0.050700211410686216,0.944636678200692,deg_myc
Peak,2919.2108473077824,Timer,thres,0.35086206896551725,0.6044048723944323,0.9515570934256055,deg_myc
Area,16427.959195404535,Timer,thres,0.35086206896551725,0.6128664705984376,0.9515570934256055,deg_myc
Peaktime,6.971494674421881,Timer,thres,0.35086206896551725,0.07163140962128402,0.9515570934256055,deg_myc
Decay,69.2,Timer,thres,0.35086206896551725,0.044459271436541034,0.9515570934256055,deg_myc
Peak,2742.5135162331526,Timer,thres,0.3534137931034483,0.5143251863715202,0.958477508650519,deg_myc
Area,15420.208601884664,Timer,thres,0.3534137931034483,0.5215354835143635,0.958477508650519,deg_myc
Peaktime,6.921163537656007,Timer,thres,0.3534137931034483,0.06117800351417264,0.958477508650519,deg_myc
Decay,68.9,Timer,thres,0.3534137931034483,0.03819121650410771,0.958477508650519,deg_myc
Peak,2578.8164221301936,Timer,thres,0.3559655172413793,0.42553553136963035,0.9653979238754324,deg_myc
Area,14487.380741183479,Timer,thres,0.3559655172413793,0.43150998674793295,0.9653979238754324,deg_myc
Peaktime,6.871548366028017,Timer,thres,0.3559655172413793,0.05079862760810928,0.9653979238754324,deg_myc
Decay,68.60000000000001,Timer,thres,0.3559655172413793,0.031895809972628655,0.9653979238754324,deg_myc
Peak,2427.007439425144,Timer,thres,0.35851724137931035,0.3380049862726792,0.9723183391003459,deg_myc
Area,13622.995754074249,Timer,thres,0.35851724137931035,0.34275719454965564,0.9723183391003459,deg_myc
Peaktime,6.822655654953028,Timer,thres,0.35851724137931035,0.04049681358296513,0.9723183391003459,deg_myc
Decay,68.3,Timer,thres,0.35851724137931035,0.025572812089906756,0.9723183391003459,deg_myc
Peak,2286.1043579446277,Timer,thres,0.3610689655172414,0.25171771789987957,0.9792387543252594,deg_myc
Area,12821.351758644545,Timer,thres,0.3610689655172414,0.25526157531384963,0.9792387543252594,deg_myc
Peaktime,6.774442582633432,Timer,thres,0.3610689655172414,0.030265652398497416,0.9792387543252594,deg_myc
