readout,read_val,name,model_name,p_val,log2FC,xnorm,pname
Peak,14115.22775449709,Timer_IL2,thres,15.2,0.0,1.0,beta_p
Area,70157.20268574888,Timer_IL2,thres,15.2,0.0,1.0,beta_p
Peaktime,5.2647792855259885,Timer_IL2,thres,15.2,0.0,1.0,beta_p
Decay,59.977722171721545,Timer_IL2,thres,15.2,0.0,1.0,beta_p
Peak,34149.45084096641,Timer_IL2,thres,30.4,1.274609971249194,2.0,beta_p
Area,154787.08059351298,Timer_IL2,thres,30.4,1.1416219302310133,2.0,beta_p
Peaktime,3.352894481376107,Timer_IL2,thres,30.4,-0.6509659697249344,2.0,beta_p
Decay,59.98739937942003,Timer_IL2,thres,30.4,0.0002327553109774326,2.0,beta_p
Peak,14162.95797775449,IL2,thres,15.2,0.0,1.0,beta_p
Area,70359.39070667297,IL2,thres,15.2,0.0,1.0,beta_p
Peaktime,5.264190289092486,IL2,thres,15.2,0.0,1.0,beta_p
Decay,59.95909459113601,IL2,thres,15.2,0.0,1.0,beta_p
Peak,34149.48780122402,IL2,thres,30.4,1.2697413318619328,2.0,beta_p
Area,154787.23514564123,IL2,thres,30.4,1.1374716068849147,2.0,beta_p
Peaktime,3.352894329026028,IL2,thres,30.4,-0.6508046249471731,2.0,beta_p
Decay,59.987935799670694,IL2,thres,30.4,0.0006937907373370988,2.0,beta_p
Peak,46699.55119440031,Timer,thres,15.2,0.0,1.0,beta_p
Area,261167.70066654627,Timer,thres,15.2,0.0,1.0,beta_p
Peaktime,6.610856965727196,Timer,thres,15.2,0.0,1.0,beta_p
Decay,59.93185629907843,Timer,thres,15.2,0.0,1.0,beta_p
Peak,132431523.91415906,Timer,thres,30.4,11.469550275773125,2.0,beta_p
Area,694249078.0672475,Timer,thres,30.4,11.376261155049056,2.0,beta_p
Peaktime,6.795760633980806,Timer,thres,30.4,0.03979773710657703,2.0,beta_p
Decay,59.938950609517946,Timer,thres,30.4,0.0001707659565411973,2.0,beta_p
